Strain,Host_Group,Constellation,PB2,PB1,PA,HA,NP,NA,MP,NS
A/Red_Fox/PEI/FAV-0591-02/2022,Fox,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/fox/Minnesota/22-014660-001/2022,Fox,EA-AM2-AM2-AM2-EA-AM2-AM2-AM2,EA,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/fox/Minnesota/22-016487-001/2022,Fox,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM1,AM1,AM1,AM2,AM2,AM1,AM2,AM2,AM1
A/fox/Wisconsin/22-014746-016/2022,Fox,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM2,AM1,AM1,AM2,AM2,AM1,AM2,AM2,AM2
A/fox/Michigan/22-014536-002/2022,Fox,EA-EA-EA-AM2-EA-AM2-AM2-AM2,EA,EA,EA,AM2,EA,AM2,AM2,AM2
A/Red_Fox/ON/FAV-0132-2/2023,Fox,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM1,AM1,AM1,AM2,AM2,AM1,AM2,AM2,AM1
A/Red_Fox/NS/FAV-0879/2022,Fox,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/Red_Fox/MB/FAV-414-08/2022,Fox,EA-AM2-AM2-AM2-EA-AM2-AM2-AM2,EA,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/fox/Wisconsin/22-014746-015/2022,Fox,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM2,AM1,AM1,AM2,AM2,AM1,AM2,AM2,AM2
A/dairy_cow/USA/24_018028-009/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/dairy_cow/Minnesota/24_016370-004/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/dairy_cow/USA/24_019691-012/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/dairy_cow/Iowa/24_017584-020/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/dairy_cow/USA/24_018028-007/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/dairy_cow/Ohio/B24OSU-UW13-869/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/dairy_cow/USA/24_020712-002/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/dairy_cow/Texas/24_009495-007/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/dairy_cow/Idaho/24_015675-001/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/dairy_cow/USA/24_020940-006/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/dairy_cow/Texas/24_015837-002-R2/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/dairy_cow/USA/24_019476-001/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/dairy_cow/USA/24_017152-003/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/dairy_cow/USA/24_017154-003/2024,Bovine,AM1-EA-AM1-AM1-AM1-AM1-AM1-AM1,AM1,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/Bald_Eagle/Florida/USDA-006544-004/2022,Raptor,EA-EA-AM2-AM2-EA-AM2-AM2-AM2,EA,EA,AM2,AM2,EA,AM2,AM2,AM2
A/Red-Tailed_Hawk/SK/FAV-0575-35/2022,Raptor,EA-AM2-AM2-AM2-EA-AM2-AM2-AM2,EA,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/Rough-Legged_Hawk/QC/FAV-0616-1/2022,Raptor,EA-EA-EA-EA-EA-AM2-AM2-AM2,EA,EA,EA,EA,EA,AM2,AM2,AM2
A/Rough-Legged_Hawk/QC/FAV-0616-4/2022,Raptor,EA-EA-AM2-AM2-EA-AM2-AM2-AM2,EA,EA,AM2,AM2,EA,AM2,AM2,AM2
A/Bald_Eagle/Florida/USDA-006544-005/2022,Raptor,EA-EA-AM2-AM2-EA-AM2-AM2-AM2,EA,EA,AM2,AM2,EA,AM2,AM2,AM2
A/rough-legged_hawk/BC/AIVPHL-352/2023,Raptor,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/Rough-Legged_Hawk/QC/FAV-0435-1/2022,Raptor,EA-EA-AM2-AM2-EA-AM2-AM2-AM2,EA,EA,AM2,AM2,EA,AM2,AM2,AM2
A/Red-Tailed_Hawk/MB/OTH-0142-4/2022,Raptor,EA-EA-EA-EA-EA-EA-EA-EA,EA,EA,EA,EA,EA,EA,EA,EA
A/Red-Tailed_Hawk/QC/FAV-0076-5/2022,Raptor,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM1,AM1,AM1,AM2,AM2,AM1,AM2,AM2,AM1
A/Rough-Legged_Hawk/QC/FAV-0308-3/2022,Raptor,EA-EA-EA-EA-EA-AM2-AM2-AM2,EA,EA,EA,EA,EA,AM2,AM2,AM2
A/Red_Tailed_Hawk/BC/AIVPHL-931/2023,Raptor,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/Rough-Legged_Hawk/QC/FAV-0308-4/2022,Raptor,EA-EA-EA-EA-EA-AM2-AM2-AM2,EA,EA,EA,EA,EA,AM2,AM2,AM2
A/Ring-Billed_Gull/NB/FAV-0759-1/2022,Seabird_Shorebird,EA-EA-EA-EA-EA-AM2-AM2-AM2,EA,EA,EA,EA,EA,AM2,AM2,AM2
A/great_black-backed_gull/Massachusetts/22-022527-002/2022,Seabird_Shorebird,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/California_Gull/AB/FAV-0896-4/2022,Seabird_Shorebird,AM1-AM1-AM1-AM1-AM1-AM1-AM2-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM2,AM1
A/Sterna_hirundo/Rio_de_Janeiro/0613-N/2024,Seabird_Shorebird,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/western_gull/California/24_004708-001/2024,Seabird_Shorebird,AM1-EA-AM1-AM1-EA-AM1-AM1-AM1,AM1,EA,AM1,AM1,EA,AM1,AM1,AM1
A/Great_Black-Backed_Gull/QC/FAV-0568-4/2022,Seabird_Shorebird,EA-EA-EA-EA-EA-AM2-AM2-AM2,EA,EA,EA,EA,EA,AM2,AM2,AM2
A/Herring_Gull/QC/FAV-0660-5/2022,Seabird_Shorebird,EA-EA-EA-EA-EA-AM2-AM2-AM2,EA,EA,EA,EA,EA,AM2,AM2,AM2
A/Sterna_hirundo/Espirito_Santo/1455-N/2023,Seabird_Shorebird,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/Herring_Gull/ON/FAV-0360-4/2022,Seabird_Shorebird,EA-EA-EA-AM2-EA-AM2-AM2-AM2,EA,EA,EA,AM2,EA,AM2,AM2,AM2
A/Royal_Tern/Florida/USDA-005590-002/2022,Seabird_Shorebird,EA-AM2-AM2-AM2-EA-AM2-AM2-AM2,EA,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/Gull/Chile/7023-2/2022,Seabird_Shorebird,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/great_black-backed_gull/Massachusetts/22-010671-007/2022,Seabird_Shorebird,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/domestic_duck/Indiana/22-011343-001/2022,Waterfowl,EA-EA-EA-AM2-EA-AM2-AM2-AM2,EA,EA,EA,AM2,EA,AM2,AM2,AM2
A/blue_winged_teal/Louisiana/CEIRR-3834/2022,Waterfowl,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/Snow_Goose/North_Dakota/USDA-011569-002/2022,Waterfowl,AM2-AM2-AM2-AM2-AM1-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM1,AM2,AM2,AM2
A/Duck/ON/FAV-0394-1/2022,Waterfowl,EA-EA-EA-EA-EA-AM2-AM2-AM2,EA,EA,EA,EA,EA,AM2,AM2,AM2
A/duck/Minnesota/UGAI22-3834/2022,Waterfowl,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/Ross's_Goose/North_Dakota/USDA-011033-001/2022,Waterfowl,EA-AM2-AM2-AM2-EA-AM2-AM2-AM1,EA,AM2,AM2,AM2,EA,AM2,AM2,AM1
A/Ross's_Goose/North_Dakota/USDA-010663-024/2022,Waterfowl,EA-AM2-AM2-AM2-EA-AM2-AM2-AM2,EA,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/mallard/Washington/23-033638-009/2023,Waterfowl,EA-EA-AM1-AM1-AM1-AM1-AM1-AM1,EA,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/Canada_Goose/BC/AIVPHL-1386/2023,Waterfowl,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/Duck/BC/FAV-1593-2/2022,Waterfowl,AM1-AM2-AM2-AM2-EA-AM2-AM2-AM2,AM1,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/mallard/North_Dakota/23-034416-003-original/2023,Waterfowl,AM1-EA-AM1-AM1-EA-AM1-AM1-AM1,AM1,EA,AM1,AM1,EA,AM1,AM1,AM1
A/mallard/Alaska/22-036139-029/2022,Waterfowl,AM1-AM1-AM1-AM1-AM1-AM1-AM2-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM2,AM1
A/Duck/BC/FAV-1580-1/2022,Waterfowl,AM1-AM2-AM2-AM2-EA-AM2-AM2-AM2,AM1,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/American_Black_Duck/Connecticut/USDA-005313-006/2022,Waterfowl,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/Canada_Goose/QC/FAV-0061-1/2022,Waterfowl,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM1,AM1,AM1,AM2,AM2,AM1,AM2,AM2,AM1
A/goose/Michigan/USDA-008506-004/2022,Waterfowl,EA-EA-EA-EA-EA-AM2-AM2-AM2,EA,EA,EA,EA,EA,AM2,AM2,AM2
A/Canada_Goose/NB/FAV-0546-1/2022,Waterfowl,EA-EA-EA-EA-EA-AM2-AM2-AM2,EA,EA,EA,EA,EA,AM2,AM2,AM2
A/Ross's_Goose/North_Dakota/USDA-010036-003/2022,Waterfowl,EA-AM2-AM2-AM2-EA-AM2-AM2-AM2,EA,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/Lesser_Snow_Goose_Blue/Iowa/USDA-007679-006/2022,Waterfowl,EA-AM2-AM2-AM2-EA-AM2-AM2-AM2,EA,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/chicken/Nebraska/22-008467-001/2022,Poultry,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/Fancy_chicken/NL/FAV-0035/2021,Poultry,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/Turkey_Vulture/QC/FAV-0377-2/2022,Poultry,EA-EA-AM2-AM2-EA-AM2-AM2-AM2,EA,EA,AM2,AM2,EA,AM2,AM2,AM2
A/chicken/Maryland/USDA-007273-005/2022,Poultry,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/turkey/Minnesota/22-009996-001/2022,Poultry,EA-AM2-AM2-AM2-EA-AM2-AM2-AM2,EA,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/chicken/Montana/USDA-010923-004/2022,Poultry,AM1-AM2-AM2-AM2-EA-AM2-AM2-AM2,AM1,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/turkey/Minnesota/23-030402-002/2023,Poultry,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/Turkey/QC/FAV-0868-3B/2022,Poultry,EA-EA-EA-EA-EA-AM2-AM2-AM2,EA,EA,EA,EA,EA,AM2,AM2,AM2
A/turkey/Minnesota/22-034666-001/2022,Poultry,EA-EA-EA-EA-EA-EA-EA-EA,EA,EA,EA,EA,EA,EA,EA,EA
A/turkey/Missouri/23-034952-002/2023,Poultry,EA-EA-AM1-AM1-AM1-AM1-AM1-AM1,EA,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/chicken/Iowa/22-008373-002/2022,Poultry,EA-AM2-AM2-AM2-EA-AM2-AM2-AM2,EA,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/turkey/Minnesota/22-012285-001/2022,Poultry,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM1,AM1,AM1,AM2,AM2,AM1,AM2,AM2,AM1
