Strain,Host_Group,Constellation,PB2,PB1,PA,HA,NP,NA,MP,NS
A/skunk/Washington/24_005959-004/2024,Skunk,EA-EA-AM1-AM1-AM1-AM1-AM1-AM1,EA,EA,AM1,AM1,AM1,AM1,AM1,AM1
A/Striped_Skunk/AB/FAV-1509-3/2022,Skunk,AM1-AM1-AM1-AM1-AM1-AM1-AM1-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM1
A/Striped_Skunk/ON/FAV-1194-1/2022,Skunk,EA-EA-EA-EA-EA-EA-EA-EA,EA,EA,EA,EA,EA,EA,EA,EA
A/Skunk/AB/FAV-0416-02/2022,Skunk,AM1-AM2-AM2-AM2-AM1-AM2-AM2-AM2,AM1,AM2,AM2,AM2,AM1,AM2,AM2,AM2
A/skunk/Washington/22-019274-004/2022,Skunk,AM1-AM1-AM1-AM1-AM1-AM1-AM2-AM1,AM1,AM1,AM1,AM1,AM1,AM1,AM2,AM1
A/Skunk/AB/FAV-0835-10/2022,Skunk,AM1-AM2-AM2-AM2-EA-AM2-AM2-AM2,AM1,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/Striped_Skunk/QC/FAV-0071-1/2022,Skunk,EA-EA-EA-EA-EA-EA-EA-EA,EA,EA,EA,EA,EA,EA,EA,EA
A/fox/Iowa/22-014421-001/2022,Fox,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM1,AM1,AM1,AM2,AM2,AM1,AM2,AM2,AM1
A/Red_Fox/PEI/FAV-0591-02/2022,Fox,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/fox/Minnesota/22-014660-001/2022,Fox,EA-AM2-AM2-AM2-EA-AM2-AM2-AM2,EA,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/fox/Minnesota/22-016487-001/2022,Fox,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM1,AM1,AM1,AM2,AM2,AM1,AM2,AM2,AM1
A/fox/Wisconsin/22-014746-016/2022,Fox,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM2,AM1,AM1,AM2,AM2,AM1,AM2,AM2,AM2
A/fox/Michigan/22-014536-002/2022,Fox,EA-EA-EA-AM2-EA-AM2-AM2-AM2,EA,EA,EA,AM2,EA,AM2,AM2,AM2
A/Red_Fox/ON/FAV-0132-2/2023,Fox,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM1,AM1,AM1,AM2,AM2,AM1,AM2,AM2,AM1
A/Red_Fox/NS/FAV-0879/2022,Fox,AM2-AM2-AM2-AM2-AM2-AM2-AM2-AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2,AM2
A/Red_Fox/MB/FAV-414-08/2022,Fox,EA-AM2-AM2-AM2-EA-AM2-AM2-AM2,EA,AM2,AM2,AM2,EA,AM2,AM2,AM2
A/fox/Wisconsin/22-014746-015/2022,Fox,AM1-AM1-AM2-AM2-AM1-AM2-AM2-AM2,AM1,AM1,AM2,AM2,AM1,AM2,AM2,AM2
