n_bps,d,m,rep_idx,seed,is_recombinant,true_bps_count,true_bps,rhizaeon_detected,rhizaeon_num_bps,rhizaeon_bps,rhizaeon_spatial_err_nt,rhizaeon_runtime_ms,three_seq_detected,three_seq_p,three_seq_runtime_ms
1,10,0,33,20230864,True,1,17789,False,0,,,3.9067919999999923,False,1.0,37.831292000000126
1,10,0,34,20230865,True,1,27239,False,0,,,5.414291999999987,False,1.0,37.2502090000002
1,10,0,35,20230866,True,1,16490,True,1,15960,530.0,6.557915999999997,False,1.0,49.66525000000011
1,10,0,37,20230868,True,1,13302,False,0,,,2.6080410000000054,False,1.0,48.56195900000016
1,10,0,36,20230867,True,1,3192,False,0,,,3.6361670000000235,False,1.0,51.19925000000003
1,10,0,40,20230871,True,1,20538,False,0,,,3.5875000000000767,False,1.0,50.54258299999992
1,10,0,39,20230870,True,1,22490,False,0,,,3.69612500000005,False,1.0,51.707791999999976
1,10,0,38,20230869,True,1,13513,True,1,14013,500.0,6.227541999999975,False,1.0,51.142958000000014
1,10,0,41,20230872,True,1,1879,False,0,,,4.520999999999997,False,1.0,38.72804100000016
1,10,0,42,20230873,True,1,18002,True,1,19702,1700.0,8.717207999999754,False,1.0,37.01429199999984
1,10,0,44,20230875,True,1,26367,False,0,,,4.276208000000281,False,1.0,47.62262499999981
1,10,0,43,20230874,True,1,20989,True,1,22480,1491.0,6.396917000000002,False,1.0,51.13224999999977
1,10,0,47,20230878,True,1,12988,False,0,,,3.8648340000002612,False,1.0,50.54345799999993
1,10,0,45,20230876,True,1,21087,False,0,,,5.79599999999969,False,1.0,53.186458999999964
1,10,0,46,20230877,True,1,27337,False,0,,,3.885207999999807,False,1.0,52.634417000000155
1,10,0,48,20230879,True,1,10160,True,1,9230,930.0,5.190416000000031,False,1.0,51.41024999999999
1,10,0,49,20230880,True,1,13432,True,1,15480,2048.0,6.511084,False,1.0,49.06216699999977
1,10,1,0,20230881,True,1,1775,False,0,,,4.23537499999993,False,1.0,38.47904199999963
1,10,1,1,20230882,True,1,11601,False,0,,,4.260541999999923,False,1.0,36.39470900000008
1,10,1,2,20230883,True,1,15336,False,0,,,4.072375000000239,False,1.0,42.82083299999995
1,10,1,4,20230885,True,1,23591,False,0,,,3.6368329999998394,False,1.0,45.313041
1,10,1,3,20230884,True,1,2011,False,0,,,3.124124999999811,False,1.0,48.912208000000405
1,10,1,5,20230886,True,1,11886,True,1,12480,594.0,6.512083000000057,False,1.0,48.11095900000018
1,10,1,6,20230887,True,1,7974,True,1,7476,498.0,8.645417000000322,False,1.0,47.00745799999994
1,10,1,7,20230888,True,1,17495,True,1,19730,2235.0,5.12083299999988,False,1.0,48.22495899999968
1,10,1,8,20230889,True,1,17152,True,1,16633,519.0,6.2429999999999986,False,1.0,44.602790999999975
1,10,1,9,20230890,True,1,23845,False,0,,,4.92816699999965,False,1.0,37.984624999999994
1,10,1,10,20230891,True,1,18330,False,0,,,5.873084000000084,False,1.0,37.72466699999999
1,10,1,11,20230892,True,1,18067,False,0,,,3.234582999999791,False,1.0,38.82670900000029
1,10,1,12,20230893,True,1,18904,False,0,,,5.473499999999909,False,1.0,43.42850000000009
1,10,1,13,20230894,True,1,22022,False,0,,,4.28374999999992,False,1.0,42.02833399999983
1,10,1,15,20230896,True,1,20308,False,0,,,3.9759999999997575,False,1.0,41.77662499999979
1,10,1,14,20230895,True,1,15333,True,1,14980,353.0,7.522000000000251,False,1.0,44.9201669999999
1,10,1,16,20230897,True,1,23167,True,1,23996,829.0,6.92879099999999,False,1.0,43.64154200000003
1,10,1,17,20230898,True,1,13453,False,0,,,3.4635829999998258,False,1.0,36.36770799999978
1,10,1,18,20230899,True,1,26536,False,0,,,5.041000000000295,False,1.0,41.01033300000001
1,10,1,19,20230900,True,1,22420,False,0,,,6.566416000000075,False,1.0,37.88870800000011
1,10,1,21,20230902,True,1,1842,False,0,,,3.3855830000000253,False,1.0,42.720458000000235
1,10,1,20,20230901,True,1,25630,True,1,22980,2650.0,5.826791999999692,False,1.0,42.8801670000003
1,10,1,22,20230903,True,1,17633,True,1,17616,17.0,8.989542000000128,False,1.0,46.39037500000009
1,10,1,24,20230905,True,1,27729,False,0,,,3.7503750000000835,False,1.0,45.36891700000023
1,10,1,25,20230906,True,1,27702,False,0,,,3.6939590000000244,False,1.0,41.540000000000354
1,10,1,23,20230904,True,1,19381,True,1,18374,1007.0,7.127167000000156,False,1.0,46.822665999999735
1,10,1,27,20230908,True,1,7942,False,0,,,3.343542000000088,False,1.0,38.1567089999999
1,10,1,26,20230907,True,1,20041,True,1,18480,1561.0,7.878583000000106,False,1.0,38.88612499999988
1,10,1,28,20230909,True,1,6228,False,0,,,6.417292000000074,False,1.0,38.888041999999956
1,10,1,29,20230910,True,1,13366,False,0,,,4.480334000000141,False,1.0,40.75249999999997
1,10,1,31,20230912,True,1,17120,False,0,,,3.5831669999999427,False,1.0,43.23554200000012
1,10,1,30,20230911,True,1,17305,False,0,,,4.243291999999954,False,1.0,43.28704199999977
1,10,1,33,20230914,True,1,8359,False,0,,,2.979874999999854,False,1.0,43.864999999999824
1,10,1,32,20230913,True,1,3259,False,0,,,4.775833000000063,False,1.0,43.39454200000014
1,10,1,34,20230915,True,1,14304,False,0,,,3.625832999999634,False,1.0,36.941542000000105
1,10,1,35,20230916,True,1,2001,False,0,,,3.94950000000005,False,1.0,36.59045800000005
1,10,1,37,20230918,True,1,3193,False,0,,,4.9732919999998515,False,1.0,41.38166700000001
1,10,1,36,20230917,True,1,6558,False,0,,,5.049250000000338,False,1.0,42.43366599999998
1,10,1,38,20230919,True,1,24663,False,0,,,4.639124999999744,False,1.0,46.26962500000032
1,10,1,41,20230922,True,1,20963,False,0,,,4.0977920000000445,False,1.0,44.30416699999995
1,10,1,39,20230920,True,1,12985,True,1,12684,301.0,9.613499999999942,False,1.0,43.176207999999775
1,10,1,40,20230921,True,1,5704,False,0,,,3.5984579999999156,False,1.0,44.797707999999936
1,10,1,43,20230924,True,1,3273,False,0,,,5.8496250000001915,False,1.0,40.509541999999676
1,10,1,42,20230923,True,1,18079,True,1,18858,779.0,9.452625000000214,False,1.0,41.7108749999997
1,10,1,44,20230925,True,1,18495,False,0,,,3.2656250000000497,False,1.0,37.44354199999967
1,10,1,45,20230926,True,1,19530,True,1,20730,1200.0,7.390583999999922,False,1.0,36.954875000000165
1,10,1,46,20230927,True,1,14390,False,0,,,3.7806669999995712,False,1.0,43.68404199999976
1,10,1,47,20230928,True,1,14785,False,0,,,3.934832999999749,False,1.0,42.59533400000004
1,10,1,48,20230929,True,1,7098,False,0,,,4.098541999999927,False,1.0,42.24158400000011
1,10,1,49,20230930,True,1,6598,False,0,,,5.792624999999774,False,1.0,41.956125000000014
1,10,2,0,20230931,True,1,9886,False,0,,,4.763041999999995,False,1.0,39.52487499999968
1,10,2,1,20230932,True,1,20632,True,1,21730,1098.0,6.234125000000201,False,1.0,39.37387499999989
1,10,2,2,20230933,True,1,25638,False,0,,,5.080458000000121,False,1.0,36.130249999999805
1,10,2,3,20230934,True,1,3876,False,0,,,5.078915999999989,False,1.0,36.94649999999999
1,10,2,7,20230938,True,1,2938,False,0,,,3.0329170000000794,False,1.0,43.83574999999995
1,10,2,4,20230935,True,1,26748,False,0,,,3.920625000000122,False,1.0,45.49141599999995
1,10,2,6,20230937,True,1,27069,False,0,,,4.961166999999822,False,1.0,45.99558399999992
1,10,2,5,20230936,True,1,14573,True,1,14730,157.0,5.872040999999939,False,1.0,46.787000000000134
1,10,2,9,20230940,True,1,9951,False,0,,,4.222292000000127,False,1.0,43.07983300000018
1,10,2,8,20230939,True,1,10273,True,1,9730,543.0,9.414125000000162,False,1.0,41.17187499999986
1,10,2,10,20230941,True,1,13773,False,0,,,3.7691670000001842,False,1.0,38.10520800000017
1,10,2,11,20230942,True,1,4508,False,0,,,4.916290999999795,False,1.0,37.87345899999961
1,10,2,13,20230944,True,1,5438,False,0,,,4.03916599999965,False,1.0,42.27258299999992
1,10,2,12,20230943,True,1,13182,False,0,,,3.7604999999998334,False,1.0,43.35304100000003
1,10,2,14,20230945,True,1,9140,False,0,,,5.506707999999971,False,1.0,45.42537499999977
1,10,2,15,20230946,True,1,15070,True,1,14775,295.0,7.802542000000301,False,1.0,49.27816699999976
1,10,2,17,20230948,True,1,26739,False,0,,,4.407791999999855,False,1.0,45.67858299999994
1,10,2,16,20230947,True,1,24263,False,0,,,5.022166999999911,False,1.0,47.31529199999996
1,10,2,18,20230949,True,1,21447,False,0,,,4.570957999999958,False,1.0,45.980416999999996
1,10,2,19,20230950,True,1,12803,False,0,,,4.522708000000097,False,1.0,41.8878330000001
1,10,2,20,20230951,True,1,11152,False,0,,,5.321083999999754,False,1.0,37.925749999999866
1,10,2,21,20230952,True,1,9700,True,1,9678,22.0,8.481999999999879,False,1.0,40.61516600000026
1,10,2,22,20230953,True,1,26023,False,0,,,4.134000000000082,False,1.0,39.27970900000011
1,10,2,25,20230956,True,1,8060,False,0,,,5.116125000000249,False,1.0,49.50837499999983
1,10,2,26,20230957,True,1,15699,False,0,,,4.880707999999956,False,1.0,48.08279200000021
1,10,2,23,20230954,True,1,13261,True,1,10730,2531.0,6.150792000000127,False,1.0,48.90966599999969
1,10,2,27,20230958,True,1,12341,False,0,,,3.671624999999956,False,1.0,48.06379200000022
1,10,2,24,20230955,True,1,19091,False,0,,,6.094124999999728,False,1.0,49.40420899999998
1,10,2,28,20230959,True,1,14371,False,0,,,5.391792000000173,False,1.0,41.08375000000031
1,10,2,29,20230960,True,1,9692,True,1,9322,370.0,8.786957999999956,False,1.0,40.73991700000023
1,10,2,30,20230961,True,1,5617,False,0,,,5.15537499999974,False,1.0,43.340375000000094
1,10,2,32,20230963,True,1,21986,False,0,,,3.5326659999999066,False,1.0,45.57983300000012
1,10,2,33,20230964,True,1,22499,False,0,,,4.038374999999927,False,1.0,48.66325000000016
1,10,2,31,20230962,True,1,16156,False,0,,,4.41350000000007,False,1.0,48.9945839999999
1,10,2,34,20230965,True,1,21496,False,0,,,4.605790999999915,False,1.0,48.27762499999988
1,10,2,35,20230966,True,1,11224,False,0,,,3.8576250000001977,False,1.0,49.24983299999974
1,10,2,36,20230967,True,1,6854,False,0,,,5.258250000000242,False,1.0,37.416207999999784
1,10,2,38,20230969,True,1,25733,False,0,,,3.803957999999774,False,1.0,42.81062499999999
1,10,2,37,20230968,True,1,4235,False,0,,,3.38445899999984,False,1.0,43.98812500000027
1,10,2,39,20230970,True,1,14864,False,0,,,5.100875000000116,False,1.0,47.29983299999985
1,10,2,40,20230971,True,1,26999,False,0,,,6.001959000000223,False,1.0,49.001249999999885
1,10,2,43,20230974,True,1,25966,False,0,,,4.238416999999828,False,1.0,49.21449999999972
1,10,2,42,20230973,True,1,23657,False,0,,,3.9569160000003656,False,1.0,49.56654099999991
1,10,2,41,20230972,True,1,7494,True,1,8230,736.0,7.658582999999997,False,1.0,47.684541000000195
1,10,2,44,20230975,True,1,20847,True,1,18980,1867.0,8.796791000000415,False,1.0,39.79758299999992
1,10,2,46,20230977,True,1,3690,False,0,,,3.8748749999997223,False,1.0,41.02091699999999
1,10,2,45,20230976,True,1,24588,False,0,,,5.65904099999992,False,1.0,41.23950000000009
1,10,2,47,20230978,True,1,25332,False,0,,,4.175417000000348,False,1.0,35.26508400000017
1,10,2,48,20230979,True,1,7183,False,0,,,5.5004589999998466,False,1.0,44.63416599999981
1,10,3,1,20230982,True,1,2779,False,0,,,5.555833999999926,False,1.0,45.77695799999981
1,10,2,49,20230980,True,1,27422,False,0,,,3.9258750000001896,False,1.0,48.50787500000031
1,10,3,0,20230981,True,1,5692,False,0,,,5.432417000000189,False,1.0,48.04320800000017
1,10,3,2,20230983,True,1,12437,False,0,,,3.7401660000000447,False,1.0,46.564791999999855
1,10,3,4,20230985,True,1,3014,False,0,,,4.827208000000027,False,1.0,39.52754200000008
1,10,3,3,20230984,True,1,19308,True,1,16980,2328.0,9.214875000000067,False,1.0,38.58816700000034
1,10,3,5,20230986,True,1,14849,False,0,,,7.524749999999969,False,1.0,38.355875000000154
1,10,3,10,20230991,True,1,13669,False,0,,,3.675374999999814,False,1.0,50.16329099999961
1,10,3,6,20230987,True,1,7564,False,0,,,6.980958999999842,False,1.0,51.20958399999998
1,10,3,7,20230988,True,1,26979,False,0,,,5.595125000000145,False,1.0,53.92070800000015
1,10,3,9,20230990,True,1,12322,False,0,,,5.310750000000031,False,1.0,52.797790999999705
1,10,3,8,20230989,True,1,4371,False,0,,,6.872292000000169,False,1.0,51.97983399999995
1,10,3,11,20230992,True,1,18833,True,1,19182,349.0,8.872417000000077,False,1.0,49.01737500000003
1,10,3,12,20230993,True,1,5431,False,0,,,5.45675000000001,False,1.0,50.132250000000326
1,10,3,13,20230994,True,1,4287,False,0,,,5.15683400000011,False,1.0,38.5954169999998
1,10,3,15,20230996,True,1,1797,False,0,,,5.23858300000013,False,1.0,43.60054099999999
1,10,3,14,20230995,True,1,9090,True,1,9933,843.0,7.788291999999863,False,1.0,48.95254100000024
1,10,3,17,20230998,True,1,21012,False,0,,,3.9344580000002516,False,1.0,50.35916699999987
1,10,3,16,20230997,True,1,13388,False,0,,,5.128166999999628,False,1.0,50.968916999999614
1,10,3,18,20230999,True,1,9866,False,0,,,5.274541999999993,False,1.0,50.80841600000019
1,10,3,20,20231001,True,1,12068,False,0,,,4.482499999999945,False,1.0,49.57345799999979
1,10,3,19,20231000,True,1,20927,True,1,21060,133.0,9.086208000000262,False,1.0,47.48320900000014
1,10,3,21,20231002,True,1,15657,True,1,15980,323.0,9.63758299999995,False,1.0,39.90133299999998
1,10,3,22,20231003,True,1,15261,False,0,,,6.230292000000137,False,1.0,42.0155000000002
1,10,3,23,20231004,True,1,14478,True,1,13980,498.0,7.962250000000282,False,1.0,46.50370799999992
1,10,3,24,20231005,True,1,18471,False,0,,,4.879792000000105,False,1.0,50.444208000000046
1,10,3,26,20231007,True,1,5191,False,0,,,4.2772090000000595,False,1.0,54.43808299999997
1,10,3,25,20231006,True,1,26700,True,1,17953,8747.0,8.575333000000018,False,1.0,54.494709000000086
1,10,3,27,20231008,True,1,18866,False,0,,,5.327083000000066,False,1.0,55.295708000000054
1,10,3,28,20231009,True,1,10056,False,0,,,8.060500000000026,False,1.0,50.05195800000006
1,10,3,29,20231010,True,1,24385,False,0,,,6.413541999999772,False,1.0,50.90845799999988
1,10,3,30,20231011,True,1,16780,True,1,18980,2200.0,11.197249999999936,False,1.0,36.33891700000014
1,10,3,31,20231012,True,1,17465,False,0,,,6.319208999999937,False,1.0,39.574167000000045
1,10,3,32,20231013,True,1,1644,False,0,,,4.931207999999909,False,1.0,39.737459000000364
1,10,3,33,20231014,True,1,21227,False,0,,,5.013958000000152,False,1.0,46.637624999999794
1,10,3,34,20231015,True,1,25352,False,0,,,5.054291000000433,False,1.0,46.57062499999975
1,10,3,35,20231016,True,1,25375,False,0,,,4.435624999999721,False,1.0,47.837458000000055
1,10,3,37,20231018,True,1,17935,True,1,18077,142.0,7.491958000000132,False,1.0,46.52400000000023
1,10,3,36,20231017,True,1,18658,False,0,,,4.899999999999682,False,1.0,49.422708000000256
1,10,3,38,20231019,True,1,13511,True,1,13014,497.0,6.842082999999999,False,1.0,40.55287500000038
1,10,3,40,20231021,True,1,13521,False,0,,,6.235749999999651,False,1.0,39.86404200000004
1,10,3,39,20231020,True,1,26318,False,0,,,5.7195829999998615,False,1.0,41.452749999999924
1,10,3,41,20231022,True,1,8469,False,0,,,4.913457999999871,False,1.0,48.454041999999916
1,10,3,42,20231023,True,1,25073,False,0,,,3.971707999999907,False,1.0,46.805292000000165
1,10,3,44,20231025,True,1,17295,False,0,,,4.383124999999932,False,1.0,48.50116599999987
1,10,3,45,20231026,True,1,14287,True,1,15980,1693.0,7.478458000000021,False,1.0,47.884375000000205
1,10,3,43,20231024,True,1,15968,True,1,15994,26.0,8.023167000000164,False,1.0,48.91879099999974
1,10,3,46,20231027,True,1,25553,False,0,,,5.172459000000185,False,1.0,39.752083999999854
1,10,3,47,20231028,True,1,11814,False,0,,,3.9769590000000576,False,1.0,39.14937500000004
1,10,3,48,20231029,True,1,21662,False,0,,,7.691166000000305,False,1.0,38.639542000000304
1,10,3,49,20231030,True,1,18271,False,0,,,5.989416999999886,False,1.0,39.80304099999987
1,20,0,1,20231032,True,1,24537,False,0,,,5.446875000000073,False,1.0,44.99675000000014
1,20,0,2,20231033,True,1,2172,False,0,,,5.726541999999668,False,1.0,46.74433300000036
1,20,0,0,20231031,True,1,18521,True,1,17912,609.0,11.385457999999904,True,0.0001031992,45.64141600000005
1,20,0,3,20231034,True,1,14777,True,1,14130,647.0,8.749625000000094,True,5.9537997e-05,46.70500000000022
1,20,0,4,20231035,True,1,24562,True,1,24420,142.0,8.241166999999994,True,0.000180598596,41.69004199999993
1,20,0,5,20231036,True,1,22846,True,1,22982,136.0,7.512833000000274,True,0.001031991909,41.948790999999815
1,20,0,6,20231037,True,1,13593,False,0,,,4.419333999999608,True,0.000180598596,41.24466699999996
1,20,0,7,20231038,True,1,27724,False,0,,,6.309915999999749,False,1.0,36.46808400000001
1,20,0,8,20231039,True,1,21147,True,1,20966,181.0,8.603207999999807,True,7.1445596e-05,39.44729199999975
1,20,0,10,20231041,True,1,24355,False,0,,,5.828750000000049,False,1.0,43.63399999999995
1,20,0,9,20231040,True,1,16046,True,1,17374,1328.0,8.912041999999953,True,7.1445596e-05,41.496417000000285
1,20,0,11,20231042,True,1,4178,True,1,3952,226.0,11.033417000000156,True,0.004127967637,42.74558299999987
1,20,0,12,20231043,True,1,16098,True,1,14614,1484.0,10.409000000000113,True,5.953799e-05,42.69075000000022
1,20,0,13,20231044,True,1,22631,True,1,20230,2401.0,11.124083999999979,True,5.9537997e-05,38.86820800000024
1,20,0,14,20231045,True,1,17019,True,1,16916,103.0,13.149541999999848,True,5.9537997e-05,37.20670799999981
1,20,0,15,20231046,True,1,6259,True,1,6443,184.0,12.644417000000185,True,0.001031991909,36.61700000000012
1,20,0,16,20231047,True,1,2095,False,0,,,5.719125000000158,False,1.0,37.21258300000008
1,20,0,17,20231048,True,1,21331,True,1,21872,541.0,9.566833000000052,True,0.001031991909,37.88937500000023
1,20,0,18,20231049,True,1,13332,True,1,13393,61.0,10.240332999999602,True,5.9537997e-05,37.90125
1,20,0,19,20231050,True,1,17529,True,1,19530,2001.0,10.150541000000235,True,0.0001031992,44.137541
1,20,0,20,20231051,True,1,11894,True,1,10230,1664.0,9.177082999999975,True,0.00010825089,43.15625000000001
1,20,0,21,20231052,True,1,19954,True,1,21120,1166.0,8.398708000000088,True,5.9537997e-05,44.2468749999998
1,20,0,22,20231053,True,1,16230,True,1,15980,250.0,8.385500000000157,True,5.953799e-05,44.08304200000002
1,20,0,23,20231054,True,1,25848,True,1,25454,394.0,10.844957999999849,True,0.003508772235,36.515709000000115
1,20,0,24,20231055,True,1,7801,True,1,9980,2179.0,7.631374999999885,True,0.0001031992,36.89733399999984
1,20,0,25,20231056,True,1,8905,True,1,9027,122.0,10.211666000000008,True,0.000386996981,40.468999999999866
1,20,0,26,20231057,True,1,11727,False,0,,,5.512749999999844,True,7.1445596e-05,43.67783300000028
1,20,0,27,20231058,True,1,25535,True,1,25614,79.0,11.466291999999711,True,0.000180598596,44.13229200000002
1,20,0,29,20231060,True,1,6765,True,1,5932,833.0,11.050500000000074,True,0.003508772235,41.71166699999995
1,20,0,30,20231061,True,1,16120,True,2,16223;16506,103.0,8.382249999999924,True,5.953799e-05,42.47845800000016
1,20,0,28,20231059,True,1,22014,True,1,22117,103.0,9.089583000000179,True,0.000180598596,44.34874999999971
1,20,0,31,20231062,True,1,4523,True,1,3715,808.0,10.477624999999602,True,0.001031991909,38.56925000000011
1,20,0,32,20231063,True,1,11026,True,2,10394;12277,632.0,10.376582999999773,True,5.953799e-05,36.24658399999969
1,20,0,33,20231064,True,1,24918,False,0,,,6.145334000000169,False,1.0,36.24662499999998
1,20,0,34,20231065,True,1,13693,True,1,13356,337.0,9.428541999999762,True,0.000119075994,37.64487500000024
1,20,0,36,20231067,True,1,16961,True,1,16890,71.0,8.406708999999957,True,0.000386996981,46.491375000000005
1,20,0,40,20231071,True,1,1777,False,0,,,4.253208000000175,False,1.0,48.844958000000105
1,20,0,35,20231066,True,1,13989,True,1,14230,241.0,9.179749999999931,True,0.0001031992,52.60175
1,20,0,37,20231068,True,1,17530,True,1,17796,266.0,9.004749999999895,True,0.00010825089,51.03041600000013
1,20,0,39,20231070,True,1,17483,True,1,17929,446.0,8.156499999999678,True,5.9537997e-05,48.24275
1,20,0,38,20231069,True,1,22141,True,1,21772,369.0,7.969000000000115,True,5.953799e-05,51.714333999999695
1,20,0,41,20231072,True,1,14382,True,1,14338,44.0,10.426000000000268,True,7.1445596e-05,38.33679099999987
1,20,0,42,20231073,True,1,11508,True,1,10691,817.0,8.365708999999999,True,5.953799e-05,38.14129200000016
1,20,0,43,20231074,True,1,3876,False,0,,,4.947875000000046,False,1.0,37.05583300000015
1,20,0,45,20231076,True,1,1842,False,0,,,4.929041000000023,True,0.003508772235,37.897791999999875
1,20,0,44,20231075,True,1,22071,True,1,21712,359.0,8.544791999999912,True,0.004127967637,40.42083399999985
1,20,0,46,20231077,True,1,15778,True,1,17638,1860.0,9.722500000000078,True,5.9537997e-05,48.62195800000002
1,20,0,48,20231079,True,1,19824,False,0,,,4.543959000000264,True,0.0001031992,48.242582999999954
1,20,0,47,20231078,True,1,18520,True,1,18690,170.0,8.69862500000007,True,0.000180598596,46.6432499999998
1,20,0,49,20231080,True,1,13800,True,1,14014,214.0,7.400791999999878,True,0.000158767987,47.84304100000014
1,20,1,0,20231081,True,1,16432,False,0,,,5.406166999999851,True,5.9537997e-05,45.165540999999806
1,20,1,1,20231082,True,1,4065,False,0,,,6.53195800000006,False,1.0,36.946541999999916
1,20,1,2,20231083,True,1,16361,True,1,16186,175.0,11.778166000000034,True,7.1445596e-05,42.545167000000106
1,20,1,3,20231084,True,1,4748,False,0,,,5.911042000000144,False,1.0,42.159666999999956
1,20,1,4,20231085,True,1,17955,False,0,,,5.499624999999675,True,0.003508772235,38.76720800000033
1,20,1,5,20231086,True,1,24546,True,2,24788;23354,242.0,8.700624999999906,True,0.000386996981,39.875333000000346
1,20,1,6,20231087,True,1,7320,True,1,8380,1060.0,9.617791999999792,True,0.001031991909,44.87491599999993
1,20,1,7,20231088,True,1,20032,True,1,20505,473.0,9.705500000000367,True,0.000257998006,42.957916999999846
1,20,1,8,20231089,True,1,23650,True,1,21980,1670.0,10.921082999999943,True,0.000386996981,42.05087499999971
1,20,1,9,20231090,True,1,5263,True,1,5730,467.0,12.750500000000109,True,0.003508772235,37.55175
1,20,1,11,20231092,True,1,12594,True,1,13480,886.0,7.584542000000027,True,5.953799e-05,40.73716700000007
1,20,1,10,20231091,True,1,7325,True,1,7598,273.0,11.60245900000012,True,0.000386996981,40.50512500000014
1,20,1,12,20231093,True,1,16586,True,1,15110,1476.0,9.695417000000095,True,5.9537997e-05,37.67858299999993
1,20,1,13,20231094,True,1,25711,True,1,25558,153.0,10.465042000000313,True,0.001031991909,37.89237499999976
1,20,1,16,20231097,True,1,2383,False,0,,,6.933875000000089,False,1.0,44.793333000000324
1,20,1,15,20231096,True,1,10236,True,1,9948,288.0,9.611249999999849,True,5.9537997e-05,44.63216599999997
1,20,1,14,20231095,True,1,13170,True,1,13079,91.0,10.78041700000032,True,0.0001031992,45.34929099999996
1,20,1,17,20231098,True,1,8232,True,1,7230,1002.0,9.45841699999983,True,0.000180598596,39.38237499999975
1,20,1,18,20231099,True,1,1840,False,0,,,5.535999999999763,False,1.0,39.71741699999987
1,20,1,19,20231100,True,1,5545,False,0,,,6.031792000000369,False,1.0,39.015915999999876
1,20,1,20,20231101,True,1,12232,True,1,11181,1051.0,9.527958000000059,True,5.953799e-05,41.14954200000032
1,20,1,21,20231102,True,1,15979,False,0,,,4.570458999999971,True,5.9537997e-05,42.08637500000023
1,20,1,22,20231103,True,1,23717,True,1,24888,1171.0,9.086458000000075,True,7.1445596e-05,42.55795900000025
1,20,1,23,20231104,True,1,13088,True,1,13424,336.0,9.930290999999869,True,0.0001031992,42.808709
1,20,1,24,20231105,True,1,11846,True,1,13037,1191.0,8.541167000000183,True,0.001031991909,44.47791599999995
